price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,availability_days,type_apartment,type_basement,type_duplex,type_house,type_townhouse,lease_term_months,location,location_avg_price
2300.0,2.0,2.5,1265.0,0.0,0.0,0,0,61,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
1800.0,2.0,1.5,1000.0,0.0,0.0,0,0,61,0,1,0,0,0,12,"airdrie, alberta",2247.343137254902
2600.0,3.0,2.5,1560.0,0.0,0.0,0,0,61,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
2400.0,2.0,2.5,1500.0,0.0,0.0,1,1,61,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
1895.0,3.0,1.5,1150.0,0.0,0.0,1,1,67,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
1500.0,1.0,1.0,900.0,0.0,0.0,0,0,75,0,1,0,0,0,12,"airdrie, alberta",2247.343137254902
1995.0,2.0,1.5,1100.0,0.0,0.0,1,1,92,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
3500.0,3.0,2.5,2088.0,1.0,0.0,0,0,365,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
5500.0,3.0,2.5,2200.0,1.0,0.0,0,0,365,0,0,0,1,0,3,"airdrie, alberta",2247.343137254902
2095.0,2.0,2.0,960.0,0.0,0.0,1,1,365,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1800.0,2.0,2.0,907.0,0.0,0.0,0,0,365,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1850.0,1.0,2.0,1079.0,0.0,0.0,0,0,365,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1600.0,1.0,1.0,648.0,0.0,0.0,0,0,365,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
3050.0,3.0,2.0,1520.0,0.0,0.0,0,1,0,0,0,0,1,0,12,"aldersyde, alberta",2500.0
1950.0,3.0,1.0,1150.0,0.0,0.0,1,1,30,0,0,0,1,0,12,"aldersyde, alberta",2500.0
2395.0,2.0,2.5,1536.0,0.0,0.0,1,1,0,0,0,0,1,0,12,"balzac, alberta",2395.0
2000.0,3.0,2.5,1477.0,0.0,0.0,1,1,0,0,0,0,1,0,12,"beaumont, alberta",1917.8333333333333
1500.0,1.0,1.0,700.0,0.0,0.0,0,0,0,0,1,0,0,0,12,"beaumont, alberta",1917.8333333333333
2195.0,3.0,2.5,1700.0,0.0,0.0,0,0,0,0,0,0,1,0,12,"beaumont, alberta",1917.8333333333333
1850.0,1.0,1.0,596.0,1.0,0.0,1,1,0,1,0,0,0,0,3,"beaumont, alberta",1917.8333333333333
1818.0,2.0,2.0,938.0,0.0,0.0,1,1,30,1,0,0,0,0,12,"beaumont, alberta",1917.8333333333333
1588.0,1.0,1.0,576.0,0.0,0.0,1,1,61,1,0,0,0,0,12,"beaumont, alberta",1917.8333333333333
2250.0,3.0,2.5,1477.0,0.0,0.0,1,1,30,0,0,0,1,0,12,"beaumont, alberta",1917.8333333333333
1998.0,3.0,1.5,1236.0,0.0,0.0,1,1,61,0,0,0,0,1,12,"beaumont, alberta",1917.8333333333333
1965.0,2.0,2.5,1300.0,0.0,0.0,0,1,61,0,0,0,0,1,12,"beaumont, alberta",1917.8333333333333
2100.0,3.0,2.5,1400.0,0.0,0.0,1,1,75,0,0,0,0,1,12,"beaumont, alberta",1917.8333333333333
