latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
51.2577473,-113.9910635,12.0,2700.0,3.0,2.5,1488.0,0,0,0,0,128.0,0,0,1,0,0,0,0
51.2920342,-114.0502138,12.0,2800.0,3.0,2.5,2100.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.2770614,-114.043381,12.0,1550.0,2.0,1.0,900.0,1,0,0,0,128.0,0,1,0,0,0,0,0
51.2910811,-114.0512376,12.0,2800.0,3.0,2.5,2100.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.281783797677,-114.026080490738,12.0,2400.0,3.0,2.5,1400.0,0,0,0,0,128.0,0,0,0,0,0,1,0
51.252937,-114.0104286,12.0,2750.0,4.0,3.5,805.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.2588372,-114.0256628,12.0,600.0,2.0,1.0,805.0,0,0,0,0,128.0,0,0,0,0,1,0,0
51.261387745429,-113.977984683331,12.0,2600.0,3.0,2.5,1608.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.2623922,-114.0461869,6.0,1600.0,2.0,1.0,1000.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.2909238,-114.0421242,12.0,2395.0,3.0,1.5,1018.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2660887,-113.9901988,12.0,1737.0,2.0,1.0,792.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.2785049,-114.0442103,12.0,2600.0,3.0,2.5,805.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.280950109218,-114.02697856138,12.0,2000.0,2.0,2.0,805.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.280950109218,-114.02697856138,12.0,1600.0,1.0,1.0,805.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.280950109218,-114.02697856138,12.0,1230.0,1.0,1.0,805.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.280950109218,-114.02697856138,12.0,2000.0,2.0,1.5,805.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.2873632,-114.024567,12.0,1800.0,2.0,1.0,805.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.2727522,-114.0360575,12.0,2800.0,3.0,2.5,1726.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2727522,-114.0360575,12.0,2675.0,3.0,2.5,1704.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2727522,-114.0360575,12.0,2475.0,2.0,2.5,1382.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2910811,-114.0512376,12.0,3000.0,4.0,2.5,2300.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.2589463,-113.9768104,12.0,2450.0,3.0,2.5,1300.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.26992,-114.0429,12.0,800.0,1.0,1.0,1750.0,0,0,0,0,128.0,1,0,0,0,0,0,0
