rentfaster_id,city,province,address,latitude,longitude,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,lease_term_months,availability_days
462352,Calgary,Alberta,25-35 Glengrove Close SW,51.0243269,-114.1627659,apartment,1780.0,1.0,1.0,500.0,0,0,1,1,12,0
496785,Calgary,Alberta,505 4th St. SE,51.0478893,-114.0532344,apartment,2995.0,2.0,2.0,1180.0,0,0,1,1,12,0
481053,Calgary,Alberta,3805 Marlborough Dr NE,51.058425,-113.9776341,apartment,1880.0,2.0,1.0,865.0,0,0,1,1,12,0
464537,Calgary,Alberta,1028 13 Ave SW,51.0412522,-114.0856247,apartment,1825.0,1.0,1.0,850.0,0,0,1,1,12,0
549185,Calgary,Alberta,2160 Paliswood Road SW,50.9714046,-114.1095398,apartment,2455.0,2.0,1.0,968.0,0,0,1,1,12,0
483933,Calgary,Alberta,15220 45 St SE,50.88121,-113.94732,apartment,2225.0,2.0,2.0,915.0,0,0,0,0,12,0
462350,Calgary,Alberta,1015 Cameron Ave SW,51.035984,-114.085384,apartment,2175.0,2.0,1.0,810.0,0,0,1,1,12,0
404960,Calgary,Alberta,2241 14 St SW,51.034549,-114.0951214,apartment,2125.0,2.0,1.0,665.0,0,0,1,1,12,0
518861,Calgary,Alberta,3470 18 Street SW,51.0238338,-114.1043286,apartment,3450.0,2.0,2.0,1019.0,0,0,1,1,12,61
335626,Calgary,Alberta,1112 9 St SW,51.0423207,-114.0834087,apartment,1895.0,1.0,1.0,699.0,0,0,1,1,12,30
468620,Calgary,Alberta,1177 11 Ave SW,51.0429559,-114.0885973,apartment,2332.0,1.0,1.0,696.0,0,0,1,1,12,30
355606,Calgary,Alberta,2410 33 Avenue Southwest,51.0241944,-114.1149641,apartment,2000.0,2.0,2.0,665.0,0,0,1,1,12,14
14548,Calgary,Alberta,727 6th Ave SW,51.047748282615,-114.077661308598,apartment,1500.0,0.0,1.0,480.0,0,0,0,0,12,30
570782,Calgary,Alberta,Seton,50.8705009,-113.9568009,apartment,2400.0,2.0,2.0,1054.0,0,0,0,0,12,365
475072,Calgary,Alberta,55 9A St. NE,51.0514104,-114.0402102,apartment,2940.0,2.0,2.0,744.0,0,0,1,1,12,0
533312,Calgary,Alberta,4850 50 Ave SW,51.00918,-114.15546,apartment,1875.0,1.0,1.0,604.0,0,0,1,1,12,0
328916,Calgary,Alberta,606 58 Ave SW,51.0016178,-114.0768808,apartment,1660.0,1.0,1.0,628.0,0,0,1,1,12,0
482132,Calgary,Alberta,20 Sage Meadows Landing,51.183553370362,-114.07416858161,townhouse,2690.0,3.0,2.0,1336.0,0,0,1,1,12,0
393079,Calgary,Alberta,1121 6th Avenue SW,51.047949,-114.088137,apartment,2095.0,1.0,1.0,657.0,0,0,1,1,12,0
477769,Calgary,Alberta,924 7th Avenue SW,51.047174,-114.081831,apartment,1745.0,1.0,1.0,640.0,0,0,1,1,12,0
508378,Calgary,Alberta,824 13 Avenue SW,51.0411205,-114.0804713,apartment,1749.0,1.0,1.0,563.0,0,0,1,1,12,0
