rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,price_sq_ft,availability_days
572593,Calgary,Alberta,1118 12 Avenue Southwest,51.0423044,-114.0876418,12,apartment,2400.0,1.0,1.0,882.0,False,False,True,True,3731.0,2.72,0
566580,Calgary,Alberta,Herron Mews NE,51.1885468,-114.0498243,6,house,2500.0,3.0,2.5,1560.0,False,False,False,False,3731.0,1.6,0
553379,Calgary,Alberta,Taradale,51.122987,-113.94154,12,house,2350.0,4.0,2.5,1650.0,True,False,False,False,3731.0,1.42,0
569221,Calgary,Alberta,550 Riverfront Avenue,51.0472742,-114.0503523,12,apartment,1800.0,1.0,1.0,502.0,False,False,True,True,3731.0,3.59,0
572561,Calgary,Alberta,7541 202 Avenue Southeast,50.8704973,-113.925537,6,duplex,1500.0,1.0,1.0,1600.0,False,False,False,False,3731.0,0.94,0
565612,Calgary,Alberta,8948 Elbow Drive SW,50.9720344,-114.0820152,12,apartment,1600.0,1.0,1.0,731.0,False,False,True,False,3731.0,2.19,0
538276,Calgary,Alberta,"109B Auburn Crest Lane SE Calgary. AB, Canada",50.8858339,-113.9478766,12,basement,1750.0,1.0,1.0,650.0,False,False,False,False,3731.0,2.69,0
567146,Calgary,Alberta,12 Setonstone Landing Southeast,50.867427,-113.9445234,12,basement,1700.0,2.0,1.0,882.0,False,False,True,False,3731.0,1.93,0
546470,Calgary,Alberta,1710 11 Avenue Southwest,51.0436756,-114.1000362,12,apartment,1855.0,1.0,1.0,487.0,False,False,True,True,3731.0,3.81,0
571158,Calgary,Alberta,279 Copperpond Common Southeast,50.9256847,-113.9326787,12,apartment,2100.0,2.0,2.0,882.0,False,False,False,False,3731.0,2.38,0
535983,Calgary,Alberta,410 Seton Passage Southeast,50.8767704,-113.9421461,12,apartment,1650.0,1.0,1.0,505.0,False,False,False,False,3731.0,3.27,0
360852,Calgary,Alberta,Downtown,51.0489344,-114.0852686,12,apartment,2900.0,2.0,2.0,882.0,False,False,False,False,3731.0,3.29,0
364085,Calgary,Alberta,105 9 Street Northwest,51.0538373,-114.0817242,12,townhouse,3795.0,2.0,3.5,2200.0,False,False,False,False,3731.0,1.72,0
572377,Calgary,Alberta,137 Red Embers Link NE,51.1666422,-113.9502865,12,townhouse,2399.0,3.0,2.0,1200.0,False,False,False,False,3731.0,2.0,0
571776,Calgary,Alberta,56 Bridleridge Circle SW,50.895325,-114.1059652,12,house,3000.0,3.0,2.0,1500.0,False,False,False,False,3731.0,2.0,0
486520,Calgary,Alberta,167 Schooner Cove Northwest,51.122527,-114.226671,12,house,2850.0,4.0,2.5,2000.0,False,False,False,False,3731.0,1.42,0
555844,Calgary,Alberta,47 Galbraith Drive Southwest,51.0090517,-114.1471821,12,duplex,2100.0,2.0,1.0,882.0,False,False,True,True,3731.0,2.38,0
570905,Calgary,Alberta,68 Huntham Road Northeast,51.1244204,-114.0654892,12,basement,1495.0,2.0,1.0,1150.0,False,False,True,False,3731.0,1.3,0
568351,Calgary,Alberta,Dalhousie,51.1009806,-114.1513185,12,townhouse,825.0,1.0,1.0,882.0,True,False,False,False,3731.0,0.94,0
572590,Calgary,Alberta,355 Nolancrest Heights Northwest,51.1743542,-114.1677406,12,townhouse,2550.0,2.0,2.5,1400.0,False,False,True,True,3731.0,1.82,0
572559,Calgary,Alberta,11620 Elbow Dr SW,50.9497536,-114.0833861,12,apartment,1995.0,2.0,1.0,755.0,False,False,True,True,3731.0,2.64,0
470326,Calgary,Alberta,Taradale,51.1197226,-113.9354814,12,house,2400.0,3.0,2.5,1657.0,False,False,False,False,3731.0,1.45,0
544054,Calgary,Alberta,193 Magnolia Terrace Southeast,50.8898747,-113.9130467,12,basement,1400.0,1.0,1.0,462.0,False,False,True,True,3731.0,3.03,0
